"tct";"ui";"lib_tct";"lib_ui";"annee";"activite";"categorie";"autorite_organisatrice";"nom_commercial_service_regional"
"RBW";"1387";"TER Centre Val de Loire : ex IC GBPS ";"SNCF-TER";2018;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RBX";"1387";"TER Occitanie : Ex IC Cevenol";"SNCF-TER";2018;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCS";"1387";"Train TER à charge, VL<160 km/h, Alsace";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCB";"1387";"Train TER à charge, VL<160 km/h, Aquitaine";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCF";"1387";"Train TER à charge, VL<160 km/h, Auvergne";"SNCF-TER";2018;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RCR";"1387";"Train TER à charge, VL<160 km/h, Basse Normandie";"SNCF-TER";2018;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RCD";"1387";"Train TER à charge, VL<160 km/h, Bourgogne";"SNCF-TER";2018;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RCJ";"1387";"Train TER à charge, VL<160 km/h, Bretagne";"SNCF-TER";2018;"TER";"Service conventionné";"Bretagne";"TER BreizhGo"
"RCU";"1387";"Train TER à charge, VL<160 km/h, Centre";"SNCF-TER";2018;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RCH";"1387";"Train TER à charge, VL<160 km/h, Champagne-Ardenne";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCC";"1387";"Train TER à charge, VL<160 km/h, Franche-Comté";"SNCF-TER";2018;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
